"portcode","Name","lat","lon","kg","eu"
64710,"Llançà",42.37104,3.16146,19858.449999999993,543569.4000000003
64700,"Port de la Selva",42.34149,3.20344,356.75,12982.619999999997
64600,"Roses",42.25628,3.18176,25494.50000000002,618064.2699999996
64500,"Palamós",41.84491,3.12768,23617.97000000002,621233.7600000006
64410,"Blanes",41.67523,2.79073,18285.800000000003,422681.3299999995
64300,"Arenys de Mar",41.58005,2.55946,8775.129999999997,203301.70999999993
64200,"Barcelona",41.36063,2.15793,15328.070000000012,382940.04
64100,"Vilanova i la Geltrú",41.2163,1.73175,10855.049999999983,361978.0400000005
63330,"Torredembarra",41.13504,1.40082,664.0999999999995,23189.800000000007
63300,"Tarragona",41.11151,1.24818,14359.300000000014,512473.4700000003
63320,"Cambrils",41.06598,1.0615,53.73000000000001,2380.1399999999985
63210,"L'Ametlla de Mar",40.88185,0.80008,1148.7900000000002,52201.98000000004
63220,"L'Ampolla",40.81151,0.7094,145.15,5921.69
63100,"La Ràpita",40.62009,0.59658,4158.99,152190.26999999996
63110,"Les Cases d'Alcanar",40.55272,0.53077,96.74999999999999,4709.549999999999
